,published_at,video_id,title,description,relevance,threat
0,2018-04-22T09:38:43.000Z,D4QxqZ9pOSc,22apr2018 grabcar driver of SLT5391R quarrel with grab passenger,grab driver of SLT5391R quarrel with grab passenger the grab driver of slt5391r was upset with the lady rider for booking a 2nd grab car after waiting for 5 mins.,1,LOW
1,2017-10-29T08:18:01.000Z,pO3ZFntIz4Y,Is it worth as Uber/Grab driver in Malaysia? Honest thoughts tips and tricks,"I'm a part-time Uber and Grab driver. Yup, I drive for both. Here's my opinions if you can actually earn money from this platform and some advises I can give.",1,LOW
2,2018-05-18T06:00:57.000Z,JlxgrLH6hu4,The Future of Grab - Your Everyday App,"Read more here: https://grb.to/myfutureyt Soon, you can wake up, book a GrabCar to get to work, pay for your favourite nasi lemak during lunch, deliver gifts to ...",1,LOW
3,2018-04-26T03:42:48.000Z,l2a8QccHZm4,Headstart: 'Choosy' drivers to bear brunt of destination-masking: Grab,Subscribe to the ABS-CBN News channel! - http://bit.ly/TheABSCBNNews Visit our website at http://news.abs-cbn.com Facebook: ...,1,LOW
4,2018-03-26T23:23:18.000Z,PF7XQju1yRo,Uber Agrees to Sell Southeast Asian Operations to Rival Grab,"Mar.26 -- Bloomberg's Eric Newcomer discusses Uber's agreement to sell its Southeast Asian operations to Grab on ""Bloomberg Technology.""",1,LOW
5,2017-11-11T07:28:09.000Z,_xzFv3F32NE,Grab Premium Kuala Lumpur to Port Dickson in BMW RM210,"While planning my recent reviews trip, I started researching the best way to get to Port Dickson and was instantly shocked at the rates the car and driver services ...",1,LOW
6,2018-06-24T21:48:40.000Z,j6vq3sW8oWE,Rated K: Manong Grab Driver with Tourette Syndrome,"Grab driver Marlon Fuentes reveals the challenges of having Tourette syndrome, asserts that his affliction does not affect his performance as a driver, and takes ...",1,LOW
7,2018-05-24T09:44:46.000Z,U7xkQEZjomQ,Taxi driver association wants Grab to be shut down,PETEKMA president Mohd Syahrir Abdul Aziz who met with the Council of Eminent Persons today called for the government to permanently shut down the ...,1,LOW
8,2017-07-13T05:46:59.000Z,M_7QkpAkfUM,how to use Malaysia grab care,how to use Malaysia grab care Getting Started. Book in Just 2 Taps. Key in your pick-up and drop-off locations to get your estimated fare. Get a Driver. Grab will ...,1,LOW
9,2018-06-24T07:41:38.000Z,ie86SlC8H7o,"Grab driver killed, found upside down in car","A Grab driver, believed to have been strangled, was found upside down in the back seat of his Perodua Myvi car at a car park in Taman Selayang Makmur here ...",1,LOW
10,2018-01-22T05:20:45.000Z,_-Xr1yBJr5M,UBER & GRAB Singapore earnings 0530 to 1100 22nd January 2018,Hello my name is Benny! And I'm creating a YouTube channel to guide or show SG uber and grab drivers who are interested to earn money like I do shown in ...,1,LOW
11,2016-10-13T05:48:29.000Z,i0mXCyDxTeY,how to take a grab car in singapore,"If this is your first time taking grab car, click https://invite.grab.co/yori26026 to download the app and get $8 off for your first trip.",1,LOW
12,2018-06-26T10:58:48.000Z,yghw0qdW5-4,Grab launches academy for drivers' skills training,Video and editing by RYAN LEAGOGO/INQUIRER.net.,1,LOW
13,2018-05-24T15:23:57.000Z,3qPOO8o37lI,Petekma wants Grab banned,"Malaysian Taxi, Limousine and Rental Car Drivers and Operators Association (Petekma) has appealed to the new government to ban ride-hailing service Grab ...",1,LOW
14,2016-09-10T06:19:45.000Z,tW-MnJqtVuo,How to use Grab App (FREE GRAB PROMO CODE),"bit.ly/grabforty If you download the app here, this is what will happen. First you get a 40PH Peso discount when you use the app and I too will get a 40PH Peso ...",1,LOW
15,2018-06-27T12:29:22.000Z,BiYEVyEcbII,Grab Driver Murder,"At the Selayang Magistrates Court, three workers of a frozen food shop at the Selayang wet market, were remanded for seven days. This to facilitate police ...",1,LOW
16,2017-11-08T09:52:49.000Z,t-kB00qMBrI,Delivery Boy Job - GRAB Rider - Video Job Description,"To Apply, give a Missed Call on 08039118134. (Please add Zero before the number) OR use the Application Links below: Mumbai: https://goo.gl/UEQQdN ...",1,LOW
17,2016-08-10T06:51:23.000Z,CEC91RUooEU,"Use Grab Bali, Not Taxis | Cheapest Airport Transfer, Better Than Uber, Private Driver","If you're looking for the best and cheapest way to travel in style during your stay on Bali, look no further than your phone and the app Grab. I've been a huge fan ...",1,LOW
18,2018-06-25T02:15:56.000Z,xigOH0mZPbg,Cops Intensify Probe On Grab Driver Murder,"Police are intensifying a probe into the murder of a 27-year-old Grab driver, who was found in his vehicle with strangulation marks on his neck, at a parking lot in ...",1,LOW
19,2018-06-26T12:14:18.000Z,xxyOSbeeJr8,"Grab's passenger wait time solution? Add more cars on the road, says Cu",Video and editing by RYAN LEAGOGO/INQUIRER.net.,1,LOW
20,2018-04-11T21:00:00.000Z,NIMKmOxrmbI,Grab CEO Anthony Tan on pitching to Softbank and a potential IPO | CNBC Conversation,Anthony Tan reflects on the lessons in leadership he has learned and the potential for his company to go public. Subscribe to CNBC Life: http://cnb.cx/2wAkfMv ...,1,LOW
21,2016-06-13T22:58:56.000Z,5Sa20gEeaNo,"Everyone vs. Uber | Jean Liu President, Didi and Anthony Tan CEO, Grab | Code Conference 2016",Didi Chuxing President Jean Liu and Grab Group CEO Anthony Tan talk with The Verge's Walt Mossberg and Recode's Kara Swisher about operating ...,1,LOW
22,2017-06-12T06:22:16.000Z,SUDD9lFro-c,Superpowers at Grab,"Everyone wants a superpower. Some of us get to have one. At Grab, we have the power to improve millions of lives across Southeast Asia! Get the power.",1,LOW
23,2016-03-16T10:11:10.000Z,tjuNryGreuk,Grab Express - same day delivery in Manila,"I test out Grab Express, a same day pickup and delivery service from Grab Philippines. This video was not sponsored, reviewed or approved by Grab. In the ...",1,LOW
24,2016-09-23T03:51:40.000Z,Bmv9Cszgwj4,Grab to partner with nuTonomy for driverless car trial,ST VIDEO: AZMI ATHNI.,1,LOW
25,2018-05-29T05:37:24.000Z,M9C61Eg6Lnw,Ryde is Grab's new challenger,"With Uber on its way out of Southeast Asia, a fresh startup called Ryde wants to ensure that Grab won't be the only game in town. ================= Let's ...",1,LOW
